# rq3-9B  url=http://localhost:8080  model=unsloth/Qwen3.5-9B

idx  tokens   nll/tok         ppl  text_preview
  0      44    0.6226      1.8638  George Washington was the first president of the U...
  1      45    0.5919      1.8075  The Pacific Ocean is the largest ocean on Earth, c...
  2      57    0.4285      1.5349  Paris is the capital of France and one of the most...
  3      48    0.6140      1.8478  A recursive Fibonacci function returns zero when n...
  4      42    0.7603      2.1388  Two plus two equals four. Four plus four equals ei...
  5      47    0.5558      1.7433  Mount Everest is the highest mountain above sea le...
  6      60    0.5622      1.7545  A binary search algorithm finds the position of a ...
  7      54    0.4484      1.5658  Photosynthesis is the process by which green plant...
  8      62    0.5151      1.6739  William Shakespeare was an English playwright and ...
  9      55    0.5153      1.6741  Water boils at one hundred degrees Celsius at stan...
 10      56    0.5108      1.6666  The speed of light in a vacuum is approximately tw...
 11      60    0.8294      2.2920  A common pattern in software engineering is the pr...
 12      68    0.6597      1.9343  The Roman Empire reached its greatest territorial ...

# rq3-9B: tokens=698  mean_nll=0.583718  ppl=1.792691
