# fp16-9B  url=http://localhost:8080  model=unsloth/Qwen3.5-9B

## paris_short  (24 tok)
prompt:  'The capital of France is'
output:  ' Paris.\\nThe capital of France is Paris.\\nThe capital of France is Paris.\\nThe capital of France is'

## math_basic  (12 tok)
prompt:  '2+2='
output:  '5，这个等式成立吗？\\n\\n这是一个经典的逻辑'

## math_chain  (80 tok)
prompt:  'If a train leaves Boston at 8 AM going 60 mph and another'
output:  ' train leaves New York at 9 AM going 40 mph, and the distance between Boston and New York is 210 miles, when will the two trains meet?\\n\\nTo determine when the two trains will meet, we need to calculate the time it takes for them to cove...'

## code_python  (64 tok)
prompt:  'def fibonacci(n):\n    """Return the nth Fibonacci number."""\n    if n'
output:  ' <= 0:\\n        return 0\\n    elif n == 1:\\n        return 1\\n    else:\\n        return fibonacci(n - 1) + fibonacci(n - 2)\\n\\n# Example usage:\\nn = 10\\nresult = fibonacci(n)\\nprint(f"The {'

## list_recall  (128 tok)
prompt:  'List the first ten US presidents:\n1.'
output:  ' George Washington\\n2. John Adams\\n3. Thomas Jefferson\\n4. James Madison\\n5. James Monroe\\n6. John Quincy Adams\\n7. Andrew Jackson\\n8. Martin Van Buren\\n9. William Henry Harrison\\n10. John Tyler\\n\\nHere are the first ten US presidents:\\n...'

## essay_open  (128 tok)
prompt:  'Write three sentences explaining why Paris is famous.\n'
output:  'Paris is famous for its beautiful architecture, including the Eiffel Tower and the Louvre Museum.\\nThe city is also renowned for its rich culinary scene, offering everything from exquisite pastries to Michelin-starred restaurants.\\nAddit...'

## longer_ctx  (64 tok)
prompt:  'The four largest oceans on Earth, ranked by surface area, are: 1.'
output:  " Pacific Ocean, 2. Atlantic Ocean, 3. Indian Ocean, and 4. Arctic Ocean. The Pacific Ocean is the largest, covering approximately 63.8 million square miles (165.25 million square kilometers), which is about 30% of the Earth's surface. It"

