# fp16-9B  url=http://localhost:8080  model=unsloth/Qwen3.5-9B

idx  tokens   nll/tok         ppl  text_preview
  0      44    0.5951      1.8133  George Washington was the first president of the U...
  1      45    0.5483      1.7303  The Pacific Ocean is the largest ocean on Earth, c...
  2      57    0.4278      1.5339  Paris is the capital of France and one of the most...
  3      48    0.6368      1.8904  A recursive Fibonacci function returns zero when n...
  4      42    0.7517      2.1206  Two plus two equals four. Four plus four equals ei...
  5      47    0.5645      1.7585  Mount Everest is the highest mountain above sea le...
  6      60    0.5916      1.8070  A binary search algorithm finds the position of a ...
  7      54    0.4243      1.5286  Photosynthesis is the process by which green plant...
  8      62    0.5134      1.6709  William Shakespeare was an English playwright and ...
  9      55    0.4810      1.6178  Water boils at one hundred degrees Celsius at stan...
 10      56    0.4155      1.5151  The speed of light in a vacuum is approximately tw...
 11      60    0.8219      2.2748  A common pattern in software engineering is the pr...
 12      68    0.6251      1.8685  The Roman Empire reached its greatest territorial ...

# fp16-9B: tokens=698  mean_nll=0.566904  ppl=1.762801
