# rotorquant_planar3-large-corpus  url=http://localhost:8080  model=Qwen/Qwen3.5-4B

idx  tokens   nll/tok         ppl  text_preview
  0      44    0.5811      1.7880  George Washington was the first president of the U...
  1      45    0.6083      1.8373  The Pacific Ocean is the largest ocean on Earth, c...
  2      57    0.3931      1.4815  Paris is the capital of France and one of the most...
  3      48    0.6108      1.8419  A recursive Fibonacci function returns zero when n...
  4      42    0.8217      2.2744  Two plus two equals four. Four plus four equals ei...
  5      47    0.5925      1.8086  Mount Everest is the highest mountain above sea le...
  6      60    0.6120      1.8441  A binary search algorithm finds the position of a ...
  7      54    0.4197      1.5215  Photosynthesis is the process by which green plant...
  8      62    0.5351      1.7077  William Shakespeare was an English playwright and ...
  9      55    0.6325      1.8822  Water boils at one hundred degrees Celsius at stan...
 10      56    0.6349      1.8869  The speed of light in a vacuum is approximately tw...
 11      60    0.9041      2.4697  A common pattern in software engineering is the pr...
 12      68    0.7129      2.0398  The Roman Empire reached its greatest territorial ...

# rotorquant_planar3-large-corpus: tokens=698  mean_nll=0.619837  ppl=1.858626
