# fp16-large-corpus  url=http://localhost:8080  model=Qwen/Qwen3.5-4B

idx  tokens   nll/tok         ppl  text_preview
  0      44    0.6253      1.8688  George Washington was the first president of the U...
  1      45    0.5964      1.8156  The Pacific Ocean is the largest ocean on Earth, c...
  2      57    0.3792      1.4611  Paris is the capital of France and one of the most...
  3      48    0.6612      1.9372  A recursive Fibonacci function returns zero when n...
  4      42    0.8033      2.2329  Two plus two equals four. Four plus four equals ei...
  5      47    0.5984      1.8191  Mount Everest is the highest mountain above sea le...
  6      60    0.5984      1.8192  A binary search algorithm finds the position of a ...
  7      54    0.4222      1.5253  Photosynthesis is the process by which green plant...
  8      62    0.5292      1.6975  William Shakespeare was an English playwright and ...
  9      55    0.6273      1.8726  Water boils at one hundred degrees Celsius at stan...
 10      56    0.5520      1.7367  The speed of light in a vacuum is approximately tw...
 11      60    0.9178      2.5037  A common pattern in software engineering is the pr...
 12      68    0.6473      1.9103  The Roman Empire reached its greatest territorial ...

# fp16-large-corpus: tokens=698  mean_nll=0.609704  ppl=1.839886
